task=019f858f-fed0-762a-9a88-280dff0cf51e name=cards/mayskiy_zhuk_1_common
poll 1: IN_PROGRESS
poll 2: IN_PROGRESS
poll 3: IN_PROGRESS
poll 4: IN_PROGRESS
poll 5: IN_PROGRESS
poll 6: IN_PROGRESS
poll 7: IN_PROGRESS
poll 8: IN_PROGRESS
poll 9: IN_PROGRESS
poll 10: IN_PROGRESS
poll 11: IN_PROGRESS
poll 12: IN_PROGRESS
poll 13: IN_PROGRESS
poll 14: IN_PROGRESS
poll 15: IN_PROGRESS
poll 16: IN_PROGRESS
poll 17: SUCCEEDED
SAVED /Users/dmitri/Desktop/shishka-bank/cards/mayskiy_zhuk_1_common.png (credits=9)
