task=019f848e-e17d-7d4b-9d81-7f8927b361d2 name=cards/shmel_5_legendary
poll 1: IN_PROGRESS
poll 2: IN_PROGRESS
poll 3: IN_PROGRESS
poll 4: IN_PROGRESS
poll 5: IN_PROGRESS
poll 6: IN_PROGRESS
poll 7: IN_PROGRESS
poll 8: IN_PROGRESS
poll 9: IN_PROGRESS
poll 10: IN_PROGRESS
poll 11: IN_PROGRESS
poll 12: 
poll 13: IN_PROGRESS
poll 14: IN_PROGRESS
poll 15: IN_PROGRESS
poll 16: IN_PROGRESS
poll 17: IN_PROGRESS
poll 18: IN_PROGRESS
poll 19: IN_PROGRESS
poll 20: IN_PROGRESS
poll 21: IN_PROGRESS
poll 22: IN_PROGRESS
poll 23: IN_PROGRESS
poll 24: SUCCEEDED
SAVED /Users/dmitri/Desktop/shishka-bank/cards/shmel_5_legendary.png (credits=9)
